id,nom,reference,image,ean13,categorie,prix_ht,prix_ttc,stock,remisable,article_remisable,declinaisons
5876,"BK VERRE VILLAGE CAVALAIRE",43,,2027986373537,VERRE,7.08,8.50,23,true,true,"[]"
5877,"BK VERRE UNI",64,,2071742402702,VERRE,7.08,8.50,14,true,true,"[]"
5878,"BK VERRE  CLEAR TROPEZ",65,,2033835995362,VERRE,7.08,8.50,33,true,true,"[]"
5879,"BK VERRE   CLEAR UNI",67,,2038672674814,VERRE,7.08,8.50,12,true,true,"[]"
5880,"BK VERRE COULEUR NOIR TROPEZ",47,,2073737962260,VERRE,7.08,8.50,26,true,true,"[]"
5881,"SUNSET 38 TROPEZ",60,,2080342977312,VERRE,7.08,8.50,83,true,true,"[]"
5882,"SUNSET CLEAR 38 TROPEZ",61,,2087733154857,VERRE,7.08,8.50,283,true,true,"[]"
5883,"MOJITO TROPEZ",70,,2033273986922,VERRE,5.42,6.50,-15,true,true,"[]"
5884,"MOJITO MAXIME",71,,2045398985568,VERRE,5.42,6.50,7,true,true,"[]"
5885,"MOJITO PORT GRIMAUD",72,,2057428970017,VERRE,5.42,6.50,5,true,true,"[]"
5886,"MOJITO CAVALAIRE",73,,2029280081798,VERRE,5.42,6.50,0,true,true,"[]"
5887,"MOJITO RAMATUELLE",74,,2047906394275,VERRE,5.42,6.50,10,true,true,"[]"
5888,"MOJITO LA CROIX",75,,2082646996624,VERRE,5.42,6.50,8,true,true,"[]"
5889,"MOJITO UNI",77,,2067292126243,VERRE,5.42,6.50,2,true,true,"[]"
5890,"MOJITO CLEAR TROPEZ 33 CL",78,,2047402809235,VERRE,5.42,6.50,22,true,true,"[]"
5891,"MOJITO CLEAR TROPEZ 45 CL",79,,2002996348966,VERRE,7.08,8.50,29,true,true,"[]"
5892,"MOJITO CLEAR TROPEZ 55 CL",79,,2074055790757,VERRE,8.33,10.00,24,true,true,"[]"
5893,"FLUTE VILLAGE TROPEZ",90,,2064767511092,VERRE,5.42,6.50,-24,true,true,"[]"
5894,"FLUTE VILLAGE MAXIME",91,,2070925189775,VERRE,5.42,6.50,0,true,true,"[]"
5895,"FLUTE VILLAGE PORT GRIMAUD",92,,2097990615480,VERRE,5.42,6.50,0,true,true,"[]"
5896,"FLUTE VILLAGE CAVALAIRE",93,,2050353298485,VERRE,5.42,6.50,3,true,true,"[]"
5897,"FLUTE VILLAGE RAMATUELLE",94,,2076462454321,VERRE,5.42,6.50,-2,true,true,"[]"
5898,"FLUTE VILLAGE LA CROIX",95,,2015634993343,VERRE,5.42,6.50,0,true,true,"[]"
5899,"FLUTE UNI",97,,2010622388941,VERRE,5.42,6.50,18,true,true,"[]"
5900,"FLUTE NOEL",FLU8,,2027375821014,VERRE,5.42,6.50,18,true,true,"[]"
5901,"FLUTE CLEAR TROPEZ",98,,2054019570946,VERRE,5.42,6.50,-12,true,true,"[]"
5902,"FLUTE CLEAR UNI",99,,2085821873024,VERRE,5.42,6.50,0,true,true,"[]"
5903,"FLUTE NOIR TROPEZ",FLU1,,2082776108249,VERRE,5.42,6.50,0,true,true,"[]"
5904,"FLUTE NOIR MAXIME",FLU2,,2004061333358,VERRE,5.42,6.50,0,true,true,"[]"
5905,"FLUTE NOIR PORT GRIMAUD",FLU3,,2087953734303,VERRE,5.42,6.50,0,true,true,"[]"
5906,"FLUTE NOIR CAVALAIRE",FLU4,,2081686588318,VERRE,5.42,6.50,0,true,true,"[]"
5907,"FLUTE NOIR RAMATUELLE",FLU5,,2094954368277,VERRE,5.42,6.50,0,true,true,"[]"
5908,"FLUTE NOIR LA CROIX",FLU6,,2041517526292,VERRE,5.42,6.50,0,true,true,"[]"
5909,"FLUTE NOIR NOEL",FLU7,,2012312267321,VERRE,5.42,6.50,18,true,true,"[]"
5910,"FLUTE NOIR UNI",FLU9,,2032159202248,VERRE,5.42,6.50,0,true,true,"[]"
5911,"TASSE CAFE TROPEZ",120,,2095778852300,VERRE,5.42,6.50,38,true,true,"[]"
5912,"TASSE CAFE MAXIME",121,,2018748237907,VERRE,5.42,6.50,13,true,true,"[]"
5913,"TASSE CAFE PORT GRIMAUD",122,,2017152198934,VERRE,5.42,6.50,1,true,true,"[]"
5914,"TASSE CAFE CAVALAIRE",123,,2062368071212,VERRE,5.42,6.50,19,true,true,"[]"
5915,"TASSE CAFE LA CROIX",124,,2032027237709,VERRE,5.42,6.50,8,true,true,"[]"
5916,"TASSE CAFE RAMATUELLE",125,,2052450904795,VERRE,5.42,6.50,9,true,true,"[]"
5917,"TASSE UNI",126,,2033768258237,VERRE,5.42,6.50,0,true,true,"[]"
5918,"TASSE CAFE CLEAR TROPEZ",130,,2077860899325,VERRE,5.42,6.50,22,true,true,"[]"
5919,"TASSE CAFE CLEAR MAXIME",131,,2096552747546,VERRE,5.42,6.50,28,true,true,"[]"
5920,"TASSE CAFE CLEAR PORT GRIMAUD",132,,2024796689964,VERRE,5.42,6.50,20,true,true,"[]"
5921,"TASSE CAFE CLEAR CAVALAIRE",133,,2025712652925,VERRE,5.42,6.50,14,true,true,"[]"
5922,"TASSE CAFE CLEAR RAMATUELLE",134,,2072771828709,VERRE,5.42,6.50,10,true,true,"[]"
5923,"TASSE CAFE CLEAR LA CROIX",135,,2096060858192,VERRE,5.42,6.50,14,true,true,"[]"
5924,"TASSE CLEAR UNI",136,,2042742549568,VERRE,5.42,6.50,0,true,true,"[]"
